number,suffix,pos,form,ending,example,support
([1-9][0-9]*)?1[1-9]$,,N,?,0,9918,2016
([1-9][0-9]*)?1[1-9]$,teta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,eta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,ta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,neteta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,eteta,N,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,a,N,pl ab,teta,912a,49
([1-9][0-9]*)?1[1-9]$,ilt,N,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,lt,N,pl abl,ilt,8016-lt,41
([1-9][0-9]*)?1[1-9]$,neilt,N,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,t,N,pl abl,ilt,911t,11
([1-9][0-9]*)?1[1-9]$,eilt,N,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,netelt,N,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,elt,N,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,lt,N,pl abl,telt,8016-lt,41
([1-9][0-9]*)?1[1-9]$,t,N,pl abl,telt,911t,11
([1-9][0-9]*)?1[1-9]$,telt,N,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,etelt,N,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,l,N,pl ad,il,911-l,35
([1-9][0-9]*)?1[1-9]$,neil,N,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,il,N,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,eil,N,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,etel,N,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,l,N,pl ad,tel,911-l,35
([1-9][0-9]*)?1[1-9]$,el,N,pl ad,tel,14-el,1
([1-9][0-9]*)?1[1-9]$,netel,N,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,tel,N,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,e,N,pl all,ile,912e,15
([1-9][0-9]*)?1[1-9]$,eile,N,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,neile,N,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,le,N,pl all,ile,9419-le,67
([1-9][0-9]*)?1[1-9]$,ile,N,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,ele,N,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,e,N,pl all,tele,912e,15
([1-9][0-9]*)?1[1-9]$,netele,N,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,le,N,pl all,tele,9419-le,67
([1-9][0-9]*)?1[1-9]$,etele,N,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,tele,N,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,ist,N,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,neist,N,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,eist,N,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,t,N,pl el,ist,911t,11
([1-9][0-9]*)?1[1-9]$,st,N,pl el,ist,917-st,82
([1-9][0-9]*)?1[1-9]$,etest,N,pl el,test,,
([1-9][0-9]*)?1[1-9]$,est,N,pl el,test,12est,2
([1-9][0-9]*)?1[1-9]$,test,N,pl el,test,,
([1-9][0-9]*)?1[1-9]$,netest,N,pl el,test,,
([1-9][0-9]*)?1[1-9]$,t,N,pl el,test,911t,11
([1-9][0-9]*)?1[1-9]$,st,N,pl el,test,917-st,82
([1-9][0-9]*)?1[1-9]$,eina,N,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,ina,N,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,na,N,pl es,ina,313-na,9
([1-9][0-9]*)?1[1-9]$,a,N,pl es,ina,912a,49
([1-9][0-9]*)?1[1-9]$,neina,N,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,tena,N,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,na,N,pl es,tena,313-na,9
([1-9][0-9]*)?1[1-9]$,netena,N,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,a,N,pl es,tena,912a,49
([1-9][0-9]*)?1[1-9]$,ena,N,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,etena,N,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,e,N,pl g,te,912e,15
([1-9][0-9]*)?1[1-9]$,nete,N,pl g,te,,
([1-9][0-9]*)?1[1-9]$,te,N,pl g,te,215-te,2
([1-9][0-9]*)?1[1-9]$,ete,N,pl g,te,,
([1-9][0-9]*)?1[1-9]$,e,N,pl ill,isse,912e,15
([1-9][0-9]*)?1[1-9]$,isse,N,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,neisse,N,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,eisse,N,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,sse,N,pl ill,isse,318sse,16
([1-9][0-9]*)?1[1-9]$,se,N,pl ill,isse,215-se,11
([1-9][0-9]*)?1[1-9]$,e,N,pl ill,tesse,912e,15
([1-9][0-9]*)?1[1-9]$,esse,N,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,sse,N,pl ill,tesse,318sse,16
([1-9][0-9]*)?1[1-9]$,netesse,N,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,etesse,N,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,tesse,N,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,se,N,pl ill,tesse,215-se,11
([1-9][0-9]*)?1[1-9]$,is,N,pl in,is,318is,1
([1-9][0-9]*)?1[1-9]$,neis,N,pl in,is,,
([1-9][0-9]*)?1[1-9]$,eis,N,pl in,is,,
([1-9][0-9]*)?1[1-9]$,s,N,pl in,is,911s,32
([1-9][0-9]*)?1[1-9]$,etes,N,pl in,tes,,
([1-9][0-9]*)?1[1-9]$,es,N,pl in,tes,12es,3
([1-9][0-9]*)?1[1-9]$,netes,N,pl in,tes,,
([1-9][0-9]*)?1[1-9]$,s,N,pl in,tes,911s,32
([1-9][0-9]*)?1[1-9]$,tes,N,pl in,tes,17tes,3
([1-9][0-9]*)?1[1-9]$,etega,N,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,ega,N,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,ga,N,pl kom,tega,914-ga,53
([1-9][0-9]*)?1[1-9]$,a,N,pl kom,tega,912a,49
([1-9][0-9]*)?1[1-9]$,netega,N,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,tega,N,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,d,N,pl n,d,912d,13
([1-9][0-9]*)?1[1-9]$,ned,N,pl n,d,,
([1-9][0-9]*)?1[1-9]$,ed,N,pl n,d,,
([1-9][0-9]*)?1[1-9]$,neid,N,pl p,id,,
([1-9][0-9]*)?1[1-9]$,eid,N,pl p,id,,
([1-9][0-9]*)?1[1-9]$,d,N,pl p,id,912d,13
([1-9][0-9]*)?1[1-9]$,id,N,pl p,id,,
([1-9][0-9]*)?1[1-9]$,ni,N,pl ter,ini,917-ni,65
([1-9][0-9]*)?1[1-9]$,eini,N,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,neini,N,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,ini,N,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,i,N,pl ter,ini,911-i,8
([1-9][0-9]*)?1[1-9]$,ni,N,pl ter,teni,917-ni,65
([1-9][0-9]*)?1[1-9]$,eteni,N,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,eni,N,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,neteni,N,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,i,N,pl ter,teni,911-i,8
([1-9][0-9]*)?1[1-9]$,teni,N,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,iks,N,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,neiks,N,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,ks,N,pl tr,iks,3315ks,23
([1-9][0-9]*)?1[1-9]$,s,N,pl tr,iks,911s,32
([1-9][0-9]*)?1[1-9]$,eiks,N,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,eks,N,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,teks,N,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,eteks,N,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,neteks,N,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,ks,N,pl tr,teks,3315ks,23
([1-9][0-9]*)?1[1-9]$,s,N,pl tr,teks,911s,32
([1-9][0-9]*)?1[1-9]$,neta,N,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,eta,N,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,ta,N,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,a,N,sg ab,ta,912a,49
([1-9][0-9]*)?1[1-9]$,nelt,N,sg abl,lt,,
([1-9][0-9]*)?1[1-9]$,elt,N,sg abl,lt,,
([1-9][0-9]*)?1[1-9]$,lt,N,sg abl,lt,8016-lt,41
([1-9][0-9]*)?1[1-9]$,t,N,sg abl,lt,911t,11
([1-9][0-9]*)?1[1-9]$,l,N,sg ad,l,911-l,35
([1-9][0-9]*)?1[1-9]$,el,N,sg ad,l,14-el,1
([1-9][0-9]*)?1[1-9]$,nel,N,sg ad,l,18nel,6
([1-9][0-9]*)?1[1-9]$,ele,N,sg all,le,,
([1-9][0-9]*)?1[1-9]$,e,N,sg all,le,912e,15
([1-9][0-9]*)?1[1-9]$,nele,N,sg all,le,18nele,3
([1-9][0-9]*)?1[1-9]$,le,N,sg all,le,9419-le,67
([1-9][0-9]*)?1[1-9]$,est,N,sg el,st,12est,2
([1-9][0-9]*)?1[1-9]$,nest,N,sg el,st,18-nest,3
([1-9][0-9]*)?1[1-9]$,t,N,sg el,st,911t,11
([1-9][0-9]*)?1[1-9]$,st,N,sg el,st,917-st,82
([1-9][0-9]*)?1[1-9]$,nena,N,sg es,na,,
([1-9][0-9]*)?1[1-9]$,na,N,sg es,na,313-na,9
([1-9][0-9]*)?1[1-9]$,a,N,sg es,na,912a,49
([1-9][0-9]*)?1[1-9]$,ena,N,sg es,na,,
([1-9][0-9]*)?1[1-9]$,ist,N,sg g,0,,
([1-9][0-9]*)?1[1-9]$,e,N,sg g,0,912e,15
([1-9][0-9]*)?1[1-9]$,ne,N,sg g,0,214-ne,22
([1-9][0-9]*)?1[1-9]$,eist,N,sg g,0,,
([1-9][0-9]*)?1[1-9]$,t,N,sg g,0,911t,11
([1-9][0-9]*)?1[1-9]$,st,N,sg g,0,917-st,82
([1-9][0-9]*)?1[1-9]$,nesse,N,sg ill,sse,15nesse,1
([1-9][0-9]*)?1[1-9]$,e,N,sg ill,sse,912e,15
([1-9][0-9]*)?1[1-9]$,esse,N,sg ill,sse,,
([1-9][0-9]*)?1[1-9]$,sse,N,sg ill,sse,318sse,16
([1-9][0-9]*)?1[1-9]$,se,N,sg ill,sse,215-se,11
([1-9][0-9]*)?1[1-9]$,nes,N,sg in,s,19-nes,13
([1-9][0-9]*)?1[1-9]$,es,N,sg in,s,12es,3
([1-9][0-9]*)?1[1-9]$,s,N,sg in,s,911s,32
([1-9][0-9]*)?1[1-9]$,ega,N,sg kom,ga,,
([1-9][0-9]*)?1[1-9]$,ga,N,sg kom,ga,914-ga,53
([1-9][0-9]*)?1[1-9]$,nega,N,sg kom,ga,15nega,2
([1-9][0-9]*)?1[1-9]$,a,N,sg kom,ga,912a,49
([1-9][0-9]*)?1[1-9]$,ist,N,sg p,0,,
([1-9][0-9]*)?1[1-9]$,met,N,sg p,0,,
([1-9][0-9]*)?1[1-9]$,eist,N,sg p,0,,
([1-9][0-9]*)?1[1-9]$,t,N,sg p,0,911t,11
([1-9][0-9]*)?1[1-9]$,et,N,sg p,0,,
([1-9][0-9]*)?1[1-9]$,st,N,sg p,0,917-st,82
([1-9][0-9]*)?1[1-9]$,neni,N,sg ter,ni,12neni,2
([1-9][0-9]*)?1[1-9]$,ni,N,sg ter,ni,917-ni,65
([1-9][0-9]*)?1[1-9]$,eni,N,sg ter,ni,,
([1-9][0-9]*)?1[1-9]$,i,N,sg ter,ni,911-i,8
([1-9][0-9]*)?1[1-9]$,eks,N,sg tr,ks,,
([1-9][0-9]*)?1[1-9]$,neks,N,sg tr,ks,19-neks,4
([1-9][0-9]*)?1[1-9]$,ks,N,sg tr,ks,3315ks,23
([1-9][0-9]*)?1[1-9]$,s,N,sg tr,ks,911s,32
([1-9][0-9]*)?1[1-9]$,ateta,O,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,teta,O,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,eta,O,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,endateta,O,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,ta,O,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,a,O,pl ab,teta,912a,49
([1-9][0-9]*)?1[1-9]$,dateta,O,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,ndateta,O,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,nendateta,O,pl ab,teta,,
([1-9][0-9]*)?1[1-9]$,dailt,O,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,ilt,O,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,lt,O,pl abl,ilt,8016-lt,41
([1-9][0-9]*)?1[1-9]$,endailt,O,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,t,O,pl abl,ilt,911t,11
([1-9][0-9]*)?1[1-9]$,ndailt,O,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,nendailt,O,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,ailt,O,pl abl,ilt,,
([1-9][0-9]*)?1[1-9]$,elt,O,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,ndatelt,O,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,lt,O,pl abl,telt,8016-lt,41
([1-9][0-9]*)?1[1-9]$,endatelt,O,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,t,O,pl abl,telt,911t,11
([1-9][0-9]*)?1[1-9]$,telt,O,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,nendatelt,O,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,datelt,O,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,atelt,O,pl abl,telt,,
([1-9][0-9]*)?1[1-9]$,ndail,O,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,l,O,pl ad,il,911-l,35
([1-9][0-9]*)?1[1-9]$,il,O,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,nendail,O,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,dail,O,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,endail,O,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,ail,O,pl ad,il,,
([1-9][0-9]*)?1[1-9]$,atel,O,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,l,O,pl ad,tel,911-l,35
([1-9][0-9]*)?1[1-9]$,el,O,pl ad,tel,14-el,1
([1-9][0-9]*)?1[1-9]$,endatel,O,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,nendatel,O,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,datel,O,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,ndatel,O,pl ad,tel,12-ndatel,1
([1-9][0-9]*)?1[1-9]$,tel,O,pl ad,tel,,
([1-9][0-9]*)?1[1-9]$,aile,O,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,nendaile,O,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,e,O,pl all,ile,912e,15
([1-9][0-9]*)?1[1-9]$,ndaile,O,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,le,O,pl all,ile,9419-le,67
([1-9][0-9]*)?1[1-9]$,ile,O,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,endaile,O,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,daile,O,pl all,ile,,
([1-9][0-9]*)?1[1-9]$,ele,O,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,e,O,pl all,tele,912e,15
([1-9][0-9]*)?1[1-9]$,datele,O,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,nendatele,O,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,le,O,pl all,tele,9419-le,67
([1-9][0-9]*)?1[1-9]$,ndatele,O,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,endatele,O,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,atele,O,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,tele,O,pl all,tele,,
([1-9][0-9]*)?1[1-9]$,ist,O,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,nendaist,O,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,ndaist,O,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,t,O,pl el,ist,911t,11
([1-9][0-9]*)?1[1-9]$,aist,O,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,endaist,O,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,daist,O,pl el,ist,,
([1-9][0-9]*)?1[1-9]$,st,O,pl el,ist,917-st,82
([1-9][0-9]*)?1[1-9]$,ndatest,O,pl el,test,,
([1-9][0-9]*)?1[1-9]$,est,O,pl el,test,12est,2
([1-9][0-9]*)?1[1-9]$,test,O,pl el,test,,
([1-9][0-9]*)?1[1-9]$,atest,O,pl el,test,,
([1-9][0-9]*)?1[1-9]$,datest,O,pl el,test,,
([1-9][0-9]*)?1[1-9]$,t,O,pl el,test,911t,11
([1-9][0-9]*)?1[1-9]$,nendatest,O,pl el,test,,
([1-9][0-9]*)?1[1-9]$,endatest,O,pl el,test,,
([1-9][0-9]*)?1[1-9]$,st,O,pl el,test,917-st,82
([1-9][0-9]*)?1[1-9]$,ina,O,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,nendaina,O,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,aina,O,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,ndaina,O,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,na,O,pl es,ina,313-na,9
([1-9][0-9]*)?1[1-9]$,a,O,pl es,ina,912a,49
([1-9][0-9]*)?1[1-9]$,endaina,O,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,daina,O,pl es,ina,,
([1-9][0-9]*)?1[1-9]$,tena,O,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,ndatena,O,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,na,O,pl es,tena,313-na,9
([1-9][0-9]*)?1[1-9]$,datena,O,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,a,O,pl es,tena,912a,49
([1-9][0-9]*)?1[1-9]$,ena,O,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,endatena,O,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,atena,O,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,nendatena,O,pl es,tena,,
([1-9][0-9]*)?1[1-9]$,ndate,O,pl g,te,12-ndate,1
([1-9][0-9]*)?1[1-9]$,date,O,pl g,te,,
([1-9][0-9]*)?1[1-9]$,endate,O,pl g,te,,
([1-9][0-9]*)?1[1-9]$,nendate,O,pl g,te,,
([1-9][0-9]*)?1[1-9]$,e,O,pl g,te,912e,15
([1-9][0-9]*)?1[1-9]$,te,O,pl g,te,215-te,2
([1-9][0-9]*)?1[1-9]$,ate,O,pl g,te,,
([1-9][0-9]*)?1[1-9]$,e,O,pl ill,isse,912e,15
([1-9][0-9]*)?1[1-9]$,isse,O,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,aisse,O,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,sse,O,pl ill,isse,318sse,16
([1-9][0-9]*)?1[1-9]$,daisse,O,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,endaisse,O,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,ndaisse,O,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,se,O,pl ill,isse,215-se,11
([1-9][0-9]*)?1[1-9]$,nendaisse,O,pl ill,isse,,
([1-9][0-9]*)?1[1-9]$,nendatesse,O,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,atesse,O,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,e,O,pl ill,tesse,912e,15
([1-9][0-9]*)?1[1-9]$,esse,O,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,sse,O,pl ill,tesse,318sse,16
([1-9][0-9]*)?1[1-9]$,ndatesse,O,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,tesse,O,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,endatesse,O,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,se,O,pl ill,tesse,215-se,11
([1-9][0-9]*)?1[1-9]$,datesse,O,pl ill,tesse,,
([1-9][0-9]*)?1[1-9]$,is,O,pl in,is,318is,1
([1-9][0-9]*)?1[1-9]$,nendais,O,pl in,is,,
([1-9][0-9]*)?1[1-9]$,ais,O,pl in,is,,
([1-9][0-9]*)?1[1-9]$,ndais,O,pl in,is,,
([1-9][0-9]*)?1[1-9]$,s,O,pl in,is,911s,32
([1-9][0-9]*)?1[1-9]$,endais,O,pl in,is,,
([1-9][0-9]*)?1[1-9]$,dais,O,pl in,is,,
([1-9][0-9]*)?1[1-9]$,dates,O,pl in,tes,,
([1-9][0-9]*)?1[1-9]$,ndates,O,pl in,tes,12ndates,2
([1-9][0-9]*)?1[1-9]$,endates,O,pl in,tes,,
([1-9][0-9]*)?1[1-9]$,ates,O,pl in,tes,,
([1-9][0-9]*)?1[1-9]$,nendates,O,pl in,tes,,
([1-9][0-9]*)?1[1-9]$,es,O,pl in,tes,12es,3
([1-9][0-9]*)?1[1-9]$,s,O,pl in,tes,911s,32
([1-9][0-9]*)?1[1-9]$,tes,O,pl in,tes,17tes,3
([1-9][0-9]*)?1[1-9]$,datega,O,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,ega,O,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,endatega,O,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,nendatega,O,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,ndatega,O,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,ga,O,pl kom,tega,914-ga,53
([1-9][0-9]*)?1[1-9]$,a,O,pl kom,tega,912a,49
([1-9][0-9]*)?1[1-9]$,tega,O,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,atega,O,pl kom,tega,,
([1-9][0-9]*)?1[1-9]$,d,O,pl n,d,912d,13
([1-9][0-9]*)?1[1-9]$,endad,O,pl n,d,,
([1-9][0-9]*)?1[1-9]$,ndad,O,pl n,d,19-ndad,7
([1-9][0-9]*)?1[1-9]$,ad,O,pl n,d,,
([1-9][0-9]*)?1[1-9]$,dad,O,pl n,d,,
([1-9][0-9]*)?1[1-9]$,nendad,O,pl n,d,,
([1-9][0-9]*)?1[1-9]$,aid,O,pl p,id,,
([1-9][0-9]*)?1[1-9]$,nendaid,O,pl p,id,,
([1-9][0-9]*)?1[1-9]$,d,O,pl p,id,912d,13
([1-9][0-9]*)?1[1-9]$,endaid,O,pl p,id,,
([1-9][0-9]*)?1[1-9]$,daid,O,pl p,id,,
([1-9][0-9]*)?1[1-9]$,ndaid,O,pl p,id,15ndaid,1
([1-9][0-9]*)?1[1-9]$,id,O,pl p,id,,
([1-9][0-9]*)?1[1-9]$,ni,O,pl ter,ini,917-ni,65
([1-9][0-9]*)?1[1-9]$,ndaini,O,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,aini,O,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,daini,O,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,ini,O,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,endaini,O,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,nendaini,O,pl ter,ini,,
([1-9][0-9]*)?1[1-9]$,i,O,pl ter,ini,911-i,8
([1-9][0-9]*)?1[1-9]$,ni,O,pl ter,teni,917-ni,65
([1-9][0-9]*)?1[1-9]$,nendateni,O,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,endateni,O,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,ateni,O,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,eni,O,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,ndateni,O,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,dateni,O,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,i,O,pl ter,teni,911-i,8
([1-9][0-9]*)?1[1-9]$,teni,O,pl ter,teni,,
([1-9][0-9]*)?1[1-9]$,daiks,O,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,iks,O,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,endaiks,O,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,aiks,O,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,ks,O,pl tr,iks,3315ks,23
([1-9][0-9]*)?1[1-9]$,nendaiks,O,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,s,O,pl tr,iks,911s,32
([1-9][0-9]*)?1[1-9]$,ndaiks,O,pl tr,iks,,
([1-9][0-9]*)?1[1-9]$,eks,O,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,dateks,O,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,teks,O,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,endateks,O,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,nendateks,O,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,ateks,O,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,ndateks,O,pl tr,teks,,
([1-9][0-9]*)?1[1-9]$,ks,O,pl tr,teks,3315ks,23
([1-9][0-9]*)?1[1-9]$,s,O,pl tr,teks,911s,32
([1-9][0-9]*)?1[1-9]$,ndata,O,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,endata,O,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,ata,O,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,nendata,O,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,ta,O,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,a,O,sg ab,ta,912a,49
([1-9][0-9]*)?1[1-9]$,data,O,sg ab,ta,,
([1-9][0-9]*)?1[1-9]$,endalt,O,sg abl,lt,,
([1-9][0-9]*)?1[1-9]$,alt,O,sg abl,lt,,
([1-9][0-9]*)?1[1-9]$,nendalt,O,sg abl,lt,,
([1-9][0-9]*)?1[1-9]$,lt,O,sg abl,lt,8016-lt,41
([1-9][0-9]*)?1[1-9]$,t,O,sg abl,lt,911t,11
([1-9][0-9]*)?1[1-9]$,ndalt,O,sg abl,lt,18ndalt,5
([1-9][0-9]*)?1[1-9]$,dalt,O,sg abl,lt,,
([1-9][0-9]*)?1[1-9]$,nendal,O,sg ad,l,18nendal,2
([1-9][0-9]*)?1[1-9]$,l,O,sg ad,l,911-l,35
([1-9][0-9]*)?1[1-9]$,dal,O,sg ad,l,19dal,8
([1-9][0-9]*)?1[1-9]$,endal,O,sg ad,l,11-endal,1
([1-9][0-9]*)?1[1-9]$,ndal,O,sg ad,l,19ndal,25
([1-9][0-9]*)?1[1-9]$,al,O,sg ad,l,13-al,1
([1-9][0-9]*)?1[1-9]$,endale,O,sg all,le,,
([1-9][0-9]*)?1[1-9]$,e,O,sg all,le,912e,15
([1-9][0-9]*)?1[1-9]$,le,O,sg all,le,9419-le,67
